taxonKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
160853237,75853,Tolpis staticifolia Sch.Bip.,ACCEPTED,3097186,Tolpis staticifolia (All.) Sch.Bip.,SPECIES,Plantae
160853238,75834,Telekia speciosa Baumg.,ACCEPTED,5389173,Telekia speciosa (Schreb.) Baumg.,SPECIES,Plantae
160853239,75831,Tanacetum parthenium Sch.Bip.,ACCEPTED,3118430,Tanacetum parthenium (L.) Sch.Bip.,SPECIES,Plantae
160853240,75832,Tanacetum vulgare L.,ACCEPTED,3118274,Tanacetum vulgare L.,SPECIES,Plantae
160853241,75829,Tanacetum balsamita L.,ACCEPTED,3118254,Tanacetum balsamita L.,SPECIES,Plantae
160853242,75830,Tanacetum macrophyllum Sch.Bip.,ACCEPTED,3118526,Tanacetum macrophyllum (Waldst. & Kit.) Sch.Bip.,SPECIES,Plantae
160853243,75828,Tagetes erecta L.,ACCEPTED,3088488,Tagetes erecta L.,SPECIES,Plantae
160853244,75819,Symphyotrichum versicolor (Willd.) G.L.Nesom,ACCEPTED,3151751,Symphyotrichum ×versicolor (Willd.) G.L.Nesom,SPECIES,Plantae
160853245,75818,Symphyotrichum versicolor (Willd.) G.L.Nesom,ACCEPTED,3151751,Symphyotrichum ×versicolor (Willd.) G.L.Nesom,SPECIES,Plantae
160853246,75817,Symphyotrichum versicolor (Willd.) G.L.Nesom,ACCEPTED,3151751,Symphyotrichum ×versicolor (Willd.) G.L.Nesom,SPECIES,Plantae
160853247,75816,Symphyotrichum salignum (Willd.) G.L.Nesom,ACCEPTED,3151811,Symphyotrichum ×salignum (Willd.) G.L.Nesom,SPECIES,Plantae
160853248,75815,Symphyotrichum salignum (Willd.) G.L.Nesom,ACCEPTED,3151811,Symphyotrichum ×salignum (Willd.) G.L.Nesom,SPECIES,Plantae
160853249,75811,Symphyotrichum laeve × Symphyotrichum lanceolatum,,,Symphyotrichum laeve × Symphyotrichum lanceolatum,,
160853250,75812,Symphyotrichum lanceolatum (Willd.) G.L.Nesom,ACCEPTED,9202318,Symphyotrichum lanceolatum (Willd.) G.L.Nesom,SPECIES,Plantae
160853251,75813,Symphyotrichum novae-angliae (L.) G.L.Nesom,ACCEPTED,3151618,Symphyotrichum novae-angliae (L.) G.L.Nesom,SPECIES,Plantae
160853252,75814,Symphyotrichum novi-belgii (L.) G.L.Nesom,ACCEPTED,3151558,Symphyotrichum novi-belgii (L.) G.L.Nesom,SPECIES,Plantae
160853253,75809,Symphyotrichum dumosum x Symphyotrichum novi-belgii,,,Symphyotrichum dumosum x Symphyotrichum novi-belgii,,
160853254,75810,Symphyotrichum laeve (L.) Ã .LÃ¶ve & D.LÃ¶ve,,,Symphyotrichum laeve (L.) Ã .LÃ¶ve & D.LÃ¶ve,,
160853255,75978,Xanthium ×kostalii,,,Xanthium ×kostalii,,
160853256,75980,Xanthium strumarium Lour.,DOUBTFUL,9052721,"Xanthium strumarium Lour., 1790",SPECIES,Plantae
160853257,75979,Xanthium spinosum L.,ACCEPTED,3089150,Xanthium spinosum L.,SPECIES,Plantae
160853258,75981,Xerochrysum bracteatum (Vent.) Tzvelev,ACCEPTED,3102871,Xerochrysum bracteatum (Vent.) Tzvelev,SPECIES,Plantae
160853259,75664,Santolina chamaecyparissus L.,ACCEPTED,3125933,Santolina chamaecyparissus L.,SPECIES,Plantae
160853260,75622,Rudbeckia laciniata L.,ACCEPTED,3114229,Rudbeckia laciniata L.,SPECIES,Plantae
160853261,75621,Rudbeckia hirta L.,ACCEPTED,3114225,Rudbeckia hirta L.,SPECIES,Plantae
160853262,75567,Rhaponticum repens (L.) Hidalgo,SYNONYM,10676000,Leuzea repens (L.) D.J.N.Hind,SPECIES,Plantae
160853263,75565,Rhagadiolus stellatus Gaertn.,ACCEPTED,5399550,Rhagadiolus stellatus (L.) Gaertn.,SPECIES,Plantae
160853264,75566,Rhaponticum carthamoides (Willd.) Iljin,SYNONYM,9713621,Leuzea carthamoides subsp. carthamoides,SUBSPECIES,Plantae
160853265,75767,Solidago canadensis L.,ACCEPTED,5389029,Solidago canadensis L.,SPECIES,Plantae
160853266,75768,Solidago gigantea Aiton,ACCEPTED,5389017,Solidago gigantea Aiton,SPECIES,Plantae
160853267,75769,Sonchus arvensis subsp. arvensis,ACCEPTED,7222599,Sonchus arvensis subsp. arvensis,SUBSPECIES,Plantae
160853268,75770,Sonchus asper Hill,ACCEPTED,3105782,Sonchus asper (L.) Hill,SPECIES,Plantae
160853269,75737,Silphium perfoliatum L.,ACCEPTED,3092576,Silphium perfoliatum L.,SPECIES,Plantae
160853270,75738,Silybum marianum (L.) Gaertn.,ACCEPTED,3145214,Silybum marianum (L.) Gaertn.,SPECIES,Plantae
160853271,75709,Senecio santiagoensis Kuntze,ACCEPTED,3108861,Senecio santiagoensis Kuntze,SPECIES,Plantae
