taxonKey,nubKey,taxonID,scientificName,acceptedKey,accepted,kingdom,taxonRank
152544790,5362215,https://www.gbif.org/species/5362215,Cydonia oblonga Mill.,,,Plantae,SPECIES
152544792,5363627,https://www.gbif.org/species/5363627,Aronia melanocarpa (Michx.) Elliott,,,Plantae,SPECIES
152544794,5370380,https://www.gbif.org/species/5370380,Dasiphora fruticosa (L.) Rydb.,,,Plantae,SPECIES
152544796,5370006,https://www.gbif.org/species/5370006,Geum ternatum (Stephan) Smedmark,,,Plantae,SPECIES
152544797,5370043,https://www.gbif.org/species/5370043,Geum quellyon Sweet,,,Plantae,SPECIES
152544798,5369784,https://www.gbif.org/species/5369784,Geum macrophyllum Willd.,,,Plantae,SPECIES
152544800,8045533,https://www.gbif.org/species/8045533,Potentilla supina subsp. costata Soják,,,Plantae,SUBSPECIES
152544802,8358048,https://www.gbif.org/species/8358048,Potentilla recta subsp. obscura (Willd.) Arcang.,,,Plantae,SUBSPECIES
152544803,7272439,https://www.gbif.org/species/7272439,Potentilla recta subsp. recta,,,Plantae,SUBSPECIES
152544804,5367186,https://www.gbif.org/species/5367186,Potentilla rivalis Nutt. ex Torr. & A.Gray,,,Plantae,SPECIES
152544805,5367214,https://www.gbif.org/species/5367214,Potentilla nepalensis Hook.,,,Plantae,SPECIES
152544806,5365888,https://www.gbif.org/species/5365888,Potentilla inclinata Vill.,,,Plantae,SPECIES
152544807,5366327,https://www.gbif.org/species/5366327,Potentilla montana Brot.,,,Plantae,SPECIES
152544808,5365305,https://www.gbif.org/species/5365305,Potentilla norvegica L.,,,Plantae,SPECIES
152544809,5365705,https://www.gbif.org/species/5365705,Potentilla intermedia L.,,,Plantae,SPECIES
152544813,5371450,https://www.gbif.org/species/5371450,Kerria japonica (L.) DC.,,,Plantae,SPECIES
152544815,3024109,https://www.gbif.org/species/3024109,Amelanchier ×lamarckii F.G.Schroed.,,,Plantae,SPECIES
152544821,3025858,https://www.gbif.org/species/3025858,Cotoneaster ambiguus Rehder & E.H.Wilson,,,Plantae,SPECIES
152544822,3025731,https://www.gbif.org/species/3025731,Cotoneaster moupinensis Franch.,,,Plantae,SPECIES
152544824,3025907,https://www.gbif.org/species/3025907,Cotoneaster qungbixiensis J.Fryer & B.Hylmö,,,Plantae,SPECIES
152544826,3025875,https://www.gbif.org/species/3025875,Cotoneaster conspicuus Comber ex Marquand,,,Plantae,SPECIES
152544827,3025896,https://www.gbif.org/species/3025896,Cotoneaster dielsianus E.Pritz.,,,Plantae,SPECIES
152544828,3025989,https://www.gbif.org/species/3025989,Cotoneaster ganghobaensis J.Fryer & B.Hylmö,,,Plantae,SPECIES
152544829,3026004,https://www.gbif.org/species/3026004,Cotoneaster ×watereri Exell,,,Plantae,SPECIES
152544832,3026049,https://www.gbif.org/species/3026049,Cotoneaster dammeri C.K.Schneid.,,,Plantae,SPECIES
152544833,3026074,https://www.gbif.org/species/3026074,Cotoneaster salicifolius Franch.,,,Plantae,SPECIES
152544834,3026024,https://www.gbif.org/species/3026024,Cotoneaster ascendens Flinck & B.Hylmö,,,Plantae,SPECIES
152544835,3026040,https://www.gbif.org/species/3026040,Cotoneaster ×suecicus G.Klotz,,,Plantae,SPECIES
152544836,3025617,https://www.gbif.org/species/3025617,Cotoneaster horizontalis Decne.,,,Plantae,SPECIES
152544837,3025605,https://www.gbif.org/species/3025605,Cotoneaster zabelii C.K.Schneid.,,,Plantae,SPECIES
152544839,3026105,https://www.gbif.org/species/3026105,Cotoneaster integrifolius (Roxb.) G.Klotz,,,Plantae,SPECIES
152544840,3026092,https://www.gbif.org/species/3026092,Cotoneaster hjelmqvistii Flinck & B.Hylmö,,,Plantae,SPECIES
152544842,3026107,https://www.gbif.org/species/3026107,Cotoneaster simonsii Baker,,,Plantae,SPECIES
152544843,3026162,https://www.gbif.org/species/3026162,Cotoneaster franchetii Boiss.,,,Plantae,SPECIES
152544847,3026334,https://www.gbif.org/species/3026334,Cotoneaster divaricatus Rehder & E.H.Wilson,,,Plantae,SPECIES
152544848,3026294,https://www.gbif.org/species/3026294,Cotoneaster bullatus Bois ex Bilm. & Bois,,,Plantae,SPECIES
152544850,3027791,https://www.gbif.org/species/3027791,Alchemilla micans Buser,,,Plantae,SPECIES
152544851,3028431,https://www.gbif.org/species/3028431,Alchemilla conjuncta Bab.,,,Plantae,SPECIES
152544852,3028528,https://www.gbif.org/species/3028528,Alchemilla mollis (Buser) Rothm.,,,Plantae,SPECIES
152544853,3028586,https://www.gbif.org/species/3028586,Alchemilla tytthantha Juz.,,,Plantae,SPECIES
152544855,3029912,https://www.gbif.org/species/3029912,Fragaria ×ananassa (Weston) Rozier,,,Plantae,SPECIES
152544857,3031774,https://www.gbif.org/species/3031774,Mespilus germanica L.,,,Plantae,SPECIES
152544859,3032442,https://www.gbif.org/species/3032442,Rhodotypos scandens (Thunb.) Makino,,,Plantae,SPECIES
152544861,7889822,https://www.gbif.org/species/7889822,Spiraea ×billardii Hérincq,,,Plantae,SPECIES
152544862,8170635,https://www.gbif.org/species/8170635,Spiraea japonica L.fil.,,,Plantae,SPECIES
152544863,3027332,https://www.gbif.org/species/3027332,Spiraea ×rosalba Dippel,,,Plantae,SPECIES
152544864,3027341,https://www.gbif.org/species/3027341,Spiraea nipponica Maxim.,,,Plantae,SPECIES
152544865,3027355,https://www.gbif.org/species/3027355,Spiraea ×macrothyrsa (Zabel) Dippel,,,Plantae,SPECIES
152544866,3026431,https://www.gbif.org/species/3026431,Spiraea hypericifolia L.,,,Plantae,SPECIES
152544867,3026819,https://www.gbif.org/species/3026819,Spiraea tomentosa L.,,,Plantae,SPECIES
152544868,3026585,https://www.gbif.org/species/3026585,Spiraea alba Du Roi,,,Plantae,SPECIES
152544869,3027159,https://www.gbif.org/species/3027159,Spiraea douglasii Hook.,,,Plantae,SPECIES
152544870,3027138,https://www.gbif.org/species/3027138,Spiraea canescens D.Don,,,Plantae,SPECIES
152544872,3001978,https://www.gbif.org/species/3001978,Agrimonia repens L.,,,Plantae,SPECIES
152544875,7501634,https://www.gbif.org/species/7501634,Rosa multiflora Murray,,,Plantae,SPECIES
152544876,3002263,https://www.gbif.org/species/3002263,Rosa majalis Herrm.,,,Plantae,SPECIES
152544877,3002372,https://www.gbif.org/species/3002372,Rosa blanda Aiton,,,Plantae,SPECIES
152544878,3011247,https://www.gbif.org/species/3011247,Rosa nitida Willd.,,,Plantae,SPECIES
152544879,3006974,https://www.gbif.org/species/3006974,Rosa pendulina L.,,,Plantae,SPECIES
152544880,3003979,https://www.gbif.org/species/3003979,Rosa rugosa Thunb.,,,Plantae,SPECIES
152544881,3003709,https://www.gbif.org/species/3003709,Rosa glauca Pourr.,,,Plantae,SPECIES
