taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160911913,5421039,CH,present,introduced,invasive,,,
160911915,9188840,CH,present,introduced,invasive,,,
160911918,2116814,CH,present,introduced,,,,
160911921,2891583,CH,present,introduced,,,,
160911925,2206086,CH,present,introduced,,,,
160911927,2205951,CH,present,introduced,,,,
160911931,5177089,CH,present,introduced,,,,
160911932,5421389,CH,present,introduced,,,,
160911936,3169340,CH,present,introduced,,,,
160911937,2220347,CH,present,introduced,,,,
160911939,2220312,CH,present,introduced,invasive,,,
160911941,2891782,CH,present,introduced,invasive,,,
160911943,2891770,CH,present,introduced,invasive,,,
160911944,2219863,CH,present,introduced,,,,
160911945,2891783,CH,present,introduced,,,,
160911946,4315705,CH,present,introduced,invasive,,,
160911948,4315703,CH,present,introduced,,,,
160911949,2882841,CH,present,introduced,,,,
4417132,4417131,CH,present,introduced,,,,
160911951,5333412,CH,present,introduced,,,,
160911952,4315760,CH,present,introduced,,,,
4315713,2219879,CH,present,introduced,,,,
160911956,3032980,CH,present,introduced,,,,
160911957,4314683,CH,present,introduced,invasive,,,
160911963,2227300,CH,present,introduced,invasive,,,
8909595,2227000,CH,present,introduced,invasive,,,
160911965,3610757,CH,present,introduced,,,,
7523842,3680213,CH,present,introduced,,,,
160911970,4309705,CH,present,introduced,,,,
160911973,2929710,CH,present,introduced,,,,
3797084,5341813,CH,present,introduced,,,,
8946295,4417551,CH,present,introduced,invasive,,,
160911977,2226990,CH,present,introduced,,,,
160911978,5341754,CH,present,introduced,,,,
160911980,2928835,CH,present,introduced,,,,
160911982,2928751,CH,present,introduced,,,,
5020078,9134964,CH,present,introduced,,,,
160911988,2986045,CH,present,introduced,,,,
160911991,2020671,CH,present,introduced,,,,
160911992,3082244,CH,present,introduced,invasive,,,
160911997,1817797,CH,present,introduced,,,,
160911999,3054368,CH,present,introduced,,,,
160912000,1749449,CH,present,introduced,,,,
160912003,2879098,CH,present,introduced,,,,
160912005,2880539,CH,present,introduced,,,,
160912006,1651430,CH,present,introduced,,,,
160912007,5333294,CH,present,introduced,,,,
160912010,2888625,CH,present,introduced,,,,
160912012,2888773,CH,present,introduced,,,,
160912013,2888806,CH,present,introduced,,,,
160912015,5334240,CH,present,introduced,invasive,,,
160912016,5598598,CH,present,introduced,invasive,,,
160912017,5598915,CH,present,introduced,,,,
7764700,5599249,CH,present,introduced,,,,
160912019,5334242,CH,present,introduced,,,,
160912020,2888814,CH,present,introduced,,,,
160912021,2888740,CH,present,introduced,,,,
160912024,2928226,CH,present,introduced,,,,
7294645,4060663,CH,present,introduced,,,,
160912028,2926066,CH,present,introduced,,,,
160912029,2926048,CH,present,introduced,,,,
160912030,2926042,CH,present,introduced,,,,
160912031,7294722,CH,present,introduced,,,,
160912032,2926108,CH,present,introduced,,,,
160912033,2926045,CH,present,introduced,,,,
160912034,2926110,CH,present,introduced,,,,
160912037,2986097,CH,present,introduced,,,,
160912038,2986192,CH,present,introduced,,,,
160912040,5361982,CH,present,introduced,,,,
160912041,5362004,CH,present,introduced,,,,
11206887,5688347,CH,present,introduced,,,,
160912043,4201607,CH,present,introduced,,,,
160912044,4201585,CH,present,introduced,,,,
160912046,8028512,CH,present,introduced,,,,
160912047,3032748,CH,present,introduced,,,,
160912048,3032812,CH,present,introduced,,,,
160912049,3032762,CH,present,introduced,,,,
160912050,3032758,CH,present,introduced,,,,
160912051,5567694,CH,present,introduced,,,,
3602683,3601091,CH,present,introduced,invasive,,,
160912056,2888439,CH,present,introduced,,,,
160912057,8144599,CH,present,introduced,,,,
11731031,3603047,CH,present,introduced,,,,
160912059,5334188,CH,present,introduced,,,,
160912060,5334190,CH,present,introduced,,,,
160912061,5531941,CH,present,introduced,,,,
160912063,3033318,CH,present,introduced,,,,
160912064,5371702,CH,present,introduced,,,,
160912065,6374953,CH,present,introduced,,,,
160912066,3033227,CH,present,introduced,,,,
3033833,3033830,CH,present,introduced,,,,
160912069,7695021,CH,present,introduced,,,,
160912070,3033896,CH,present,introduced,,,,
3033865,3033868,CH,present,introduced,,,,
160912074,2892272,CH,present,introduced,,,,
160912075,2914547,CH,present,introduced,,,,
160912076,2914754,CH,present,introduced,,,,
160912078,3169708,CH,present,introduced,,,,
160912079,3170247,CH,present,introduced,,,,
160912082,3034819,CH,present,introduced,,,,
160912083,8364220,CH,present,introduced,,,,
160912084,3633319,CH,present,introduced,,,,
160912085,5538946,CH,present,introduced,,,,
160912086,3034825,CH,present,introduced,,,,
160912087,3034922,CH,present,introduced,,,,
160912088,3034871,CH,present,introduced,,,,
160912089,5371879,CH,present,introduced,,,,
160912092,7303616,CH,present,introduced,,,,
160912094,5361889,CH,present,introduced,,,,
160912095,5361909,CH,present,introduced,,,,
160912097,5361880,CH,present,introduced,,,,
160912100,3001244,CH,present,introduced,,,,
5365717,3031919,CH,present,introduced,,,,
160912104,5362445,CH,present,introduced,,,,
160912106,3021922,CH,present,introduced,,,,
160912107,3003979,CH,present,introduced,,,,
160912108,2996525,CH,present,introduced,invasive,,,
160912109,2995149,CH,present,introduced,,,,
160912110,3026454,CH,present,introduced,,,,
160912111,3026406,CH,present,introduced,,,,
160912112,5365705,CH,present,introduced,,,,
160912113,5367294,CH,present,introduced,,,,
160912114,2988354,CH,present,introduced,,,,
160912115,3003244,CH,present,introduced,,,,
160912116,3021850,CH,present,introduced,invasive,,,
160912117,3021496,CH,present,introduced,,,,
160912118,7818643,CH,present,introduced,,,,
3020980,3022502,CH,present,introduced,,,,
160912120,7931731,CH,present,introduced,,,,
160912121,3031774,CH,present,introduced,,,,
160912122,3026074,CH,present,introduced,,,,
160912123,3025617,CH,present,introduced,,,,
160912124,5370380,CH,present,introduced,,,,
160912125,3026049,CH,present,introduced,,,,
160912126,2988624,CH,present,introduced,,,,
160912129,3170823,CH,present,introduced,,,,
7346102,7333256,CH,present,introduced,,,,
9556104,3684450,CH,present,introduced,,,,
160912135,5415039,CH,present,introduced,,,,
160912136,5415040,CH,present,introduced,,,,
160912137,3172297,CH,present,introduced,,,,
160912138,3172266,CH,present,introduced,,,,
160912140,5341442,CH,present,introduced,,,,
160912141,2926995,CH,present,introduced,,,,
160912142,6409706,CH,present,introduced,,,,
160912143,2926990,CH,present,introduced,,,,
160912144,2927004,CH,present,introduced,,,,
160912145,2926884,CH,present,introduced,,,,
160912146,2926885,CH,present,introduced,,,,
160912148,2927230,CH,present,introduced,,,,
160912149,5341373,CH,present,introduced,,,,
160912150,5341501,CH,present,introduced,,,,
160912151,7309064,CH,present,introduced,,,,
160912152,2927305,CH,present,introduced,,,,
160912154,7810918,CH,present,introduced,,,,
160912155,3173338,CH,present,introduced,invasive,,,
7303015,12387365,CH,present,introduced,,,,
160912159,3172104,CH,present,introduced,,,,
160912160,3172100,CH,present,introduced,,,,
160912161,3172077,CH,present,introduced,,,,
160912162,5562956,CH,present,introduced,,,,
160912163,5415011,CH,present,introduced,,,,
160912164,5415019,CH,present,introduced,,,,
160912165,8287616,CH,present,introduced,,,,
160912166,8200663,CH,present,introduced,,,,
160912167,3172001,CH,present,introduced,,,,
160912170,5359378,CH,present,introduced,,,,
160912171,6109535,CH,present,introduced,,,,
160912172,5358907,CH,present,introduced,,,,
160912173,2974887,CH,present,introduced,,,,
160912174,2975257,CH,present,introduced,,,,
160912175,2974832,CH,present,introduced,,,,
160912176,2974811,CH,present,introduced,,,,
160912177,2974753,CH,present,introduced,,,,
160912178,2975014,CH,present,introduced,,,,
160912179,2975262,CH,present,introduced,,,,
160912180,5359175,CH,present,introduced,,,,
160912181,5359177,CH,present,introduced,,,,
160912182,2951984,CH,present,introduced,,,,
5347846,5347845,CH,present,introduced,,,,
160912184,5352251,CH,present,introduced,invasive,,,
160912185,2965531,CH,present,introduced,,,,
160912186,9151957,CH,present,introduced,,,,
160912187,2971016,CH,present,introduced,,,,
160912188,2971112,CH,present,introduced,,,,
160912189,2964167,CH,present,introduced,,,,
160912190,2964355,CH,present,introduced,,,,
160912191,2964025,CH,present,introduced,,,,
160912192,5356517,CH,present,introduced,,,,
160912193,2975667,CH,present,introduced,,,,
160912194,2959443,CH,present,introduced,,,,
160912195,2943402,CH,present,introduced,,,,
160912196,5353590,CH,present,introduced,,,,
160912197,5357407,CH,present,introduced,,,,
160912200,8810827,CH,present,introduced,,,,
160912202,3166917,CH,present,introduced,,,,
160912203,3158788,CH,present,introduced,,,,
160912205,3089150,CH,present,introduced,,,,
160912206,3144037,CH,present,introduced,,,,
160912207,3110593,CH,present,introduced,invasive,,,
7476542,7476542,CH,present,introduced,,,,
3121213,3121213,CH,present,introduced,,,,
160912210,3121593,CH,present,introduced,,,,
160912211,3121226,CH,present,introduced,invasive,,,
160912212,3120790,CH,present,introduced,invasive,,,
160912213,5392083,CH,present,introduced,,,,
160912214,5389402,CH,present,introduced,,,,
160912215,5391882,CH,present,introduced,,,,
160912216,5392174,CH,present,introduced,invasive,,,
160912217,5391480,CH,present,introduced,,,,
160912218,3092946,CH,present,introduced,,,,
160912219,3128962,CH,present,introduced,,,,
160912220,3128888,CH,present,introduced,,,,
160912221,3133938,CH,present,introduced,,,,
7706146,7706146,CH,present,introduced,invasive,,,
160912223,5403272,CH,present,introduced,,,,
160912224,5403605,CH,present,introduced,,,,
160912225,3146791,CH,present,introduced,,,,
160912226,3147168,CH,present,introduced,,,,
160912227,3117449,CH,present,introduced,,,,
160912228,8298495,CH,present,introduced,,,,
160912229,3119231,CH,present,introduced,invasive,,,
160912230,9206251,CH,present,introduced,,,,
160912231,3141101,CH,present,introduced,,,,
160912232,3092782,CH,present,introduced,,,,
160912233,3132570,CH,present,introduced,,,,
160912234,3148340,CH,present,introduced,,,,
160912235,3119175,CH,present,introduced,,,,
160912236,5400952,CH,present,introduced,,,,
160912237,3103791,CH,present,introduced,,,,
160912238,3109117,CH,present,introduced,,,,
160912239,3109086,CH,present,introduced,invasive,,,
10769750,3110905,CH,present,introduced,,,,
160912241,5389029,CH,present,introduced,invasive,,,
160912242,5389017,CH,present,introduced,invasive,,,
160912243,3114229,CH,present,introduced,,,,
160912244,3114225,CH,present,introduced,,,,
160912245,3118284,CH,present,introduced,,,,
160912246,5389173,CH,present,introduced,,,,
160912247,3151618,CH,present,introduced,,,,
160912248,9202318,CH,present,introduced,,,,
160912249,3151474,CH,present,introduced,,,,
160912250,3151558,CH,present,introduced,,,,
160912251,5386974,CH,present,introduced,,,,
160912252,3097166,CH,present,introduced,,,,
160912254,3140436,CH,present,introduced,,,,
9052721,9052721,CH,present,introduced,,,,
3048411,8110795,CH,present,introduced,,,,
10944522,3052738,CH,present,introduced,,,,
160912261,3047621,CH,present,introduced,,,,
160912262,3046736,CH,present,introduced,,,,
160912263,3046851,CH,present,introduced,,,,
160912264,3046875,CH,present,introduced,,,,
160912265,3053406,CH,present,introduced,,,,
160912266,5373365,CH,present,introduced,,,,
160912267,7678610,CH,present,introduced,,,,
160912268,5373358,CH,present,introduced,,,,
160912269,5373324,CH,present,introduced,,,,
160912270,5376648,CH,present,introduced,,,,
160912271,5376565,CH,present,introduced,,,,
