taxonKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
160926810,105085,"Proterorhinus marmoratus (Pallas, 1814)",ACCEPTED,2379235,"Proterorhinus marmoratus (Pallas, 1814)",SPECIES,Animalia
160926811,105086,Prunus pensylvanica L.f.,ACCEPTED,8202030,Prunus pensylvanica L.fil.,SPECIES,Plantae
160926812,105087,"Rattus norvegicus (Berkenhout, 1769)",ACCEPTED,2439261,"Rattus norvegicus (Berkenhout, 1769)",SPECIES,Animalia
160926815,105073,"Oncorhynchus mykiss (Walbaum, 1792)",ACCEPTED,5204019,"Oncorhynchus mykiss (Walbaum, 1792)",SPECIES,Animalia
160926818,105077,Papaver rhoeas L.,ACCEPTED,2888443,Papaver rhoeas L.,SPECIES,Plantae
160926821,105064,Lysichiton americanus HultÃ©n & H.St.John,ACCEPTED,2869311,Lysichiton americanus Hultén & H.St.John,SPECIES,Plantae
160926824,105040,Epilobium adenocaulon Hausskn.,SYNONYM,7095758,Epilobium ciliatum subsp. ciliatum,SUBSPECIES,Plantae
160926825,105039,Elodea canadensis Michx.,ACCEPTED,2865448,Elodea canadensis Michx.,SPECIES,Plantae
160926828,105045,Fallopia japonica (Houtt.) Ronse Decraene,SYNONYM,2889173,Reynoutria japonica Houtt.,SPECIES,Plantae
160926829,105044,Fallopia bohemica (Chrtek & ChrtkovÃ¡) J.P.Bailey,SYNONYM,4038485,Reynoutria ×bohemica Chrtek & Chrtková,SPECIES,Plantae
160926830,105043,"Evadne anonyx Sars, 1897",ACCEPTED,5716488,"Evadne anonyx Sars, 1897",SPECIES,Animalia
160926834,105031,Conyza canadensis (L.) Cronq.,SYNONYM,3146791,Erigeron canadensis L.,SPECIES,Plantae
160926835,105032,"Cordylophora caspia (Pallas, 1771)",ACCEPTED,2266009,"Cordylophora caspia (Pallas, 1771)",SPECIES,Animalia
160926838,105050,Galium album Mill.,ACCEPTED,2913931,Galium album Mill.,SPECIES,Plantae
160926839,105049,Galium album Mill.,ACCEPTED,2913931,Galium album Mill.,SPECIES,Plantae
160926840,105038,Echinochloa crus-galli (L.) P.Beauv.,ACCEPTED,2702808,Echinochloa crus-galli (L.) P.Beauv.,SPECIES,Plantae
160926843,105025,"Castor canadensis Kuhl, 1820",ACCEPTED,2439838,"Castor canadensis Kuhl, 1820",SPECIES,Animalia
160926844,105026,"Catostomus catostomus (Forster, 1773)",ACCEPTED,4286868,"Catostomus catostomus (Forster, 1773)",SPECIES,Animalia
160926847,105020,Bromus inermis Leyss.,ACCEPTED,2703670,Bromus inermis Leyss.,SPECIES,Plantae
160926850,105016,Aster salignus L.,ACCEPTED,7686253,Aster salignus L.,SPECIES,Plantae
160926853,105046,Fallopia sachalinensis (Friedrich Schmidt Petrop.) Ronse Decraene,SYNONYM,2889088,Reynoutria sachalinensis (F.Schmidt) Nakai,SPECIES,Plantae
160926854,105047,Felis silvestris catus,,,Felis silvestris catus,,
160926855,105048,Galega orientalis Lam.,ACCEPTED,2975663,Galega orientalis Lam.,SPECIES,Plantae
160926858,105007,"Acipenser ruthenus Linnaeus, 1758",ACCEPTED,2402168,"Acipenser ruthenus Linnaeus, 1758",SPECIES,Animalia
160926862,105078,"Perccottus glenii Dybowski, 1877",ACCEPTED,2390064,"Perccottus glenii Dybowski, 1877",SPECIES,Animalia
160926864,105022,Calystegia sepium R.Br.,ACCEPTED,2928441,Calystegia sepium (L.) R.Br.,SPECIES,Plantae
160926865,105083,"Potamopyrgus antipodarum (Gray, 1843)",ACCEPTED,5192470,"Potamopyrgus antipodarum (J.E.Gray, 1843)",SPECIES,Animalia
160926866,105082,"Pontogammarus robustoides (Sars, 1894)",ACCEPTED,4315140,"Pontogammarus robustoides (Sars, 1894)",SPECIES,Animalia
160926867,105081,Poa chaixii Vill.,ACCEPTED,2704211,Poa chaixii Vill.,SPECIES,Plantae
160926868,105065,Malus domestica Borkh.,ACCEPTED,3001244,Malus domestica (Suckow) Borkh.,SPECIES,Plantae
160926869,105066,Marenzelleria spp.,ACCEPTED,2321007,"Marenzelleria Mesnil, 1896",GENUS,Animalia
160926870,105011,Amelanchier spicata K.Koch,HETEROTYPIC_SYNONYM,3023903,Amelanchier humilis Wiegand,SPECIES,Plantae
160926871,105005,"Acipenser baerii Brandt, 1869",ACCEPTED,4287131,"Acipenser baerii Brandt, 1869",SPECIES,Animalia
160926875,105052,Glyceria maxima Holmb.,ACCEPTED,2705484,Glyceria maxima (Hartm.) Holmb.,SPECIES,Plantae
160926876,105084,Prorocentrum minimum (Pavillard) J.Schiller,SYNONYM,8368630,Prorocentrum cordatum (Ostenf.) J.D.Dodge,SPECIES,Chromista
160926877,105074,"Ondatra zibethicus (Linnaeus, 1766)",ACCEPTED,5219858,"Ondatra zibethicus (Linnaeus, 1766)",SPECIES,Animalia
160926878,105070,"Nyctereutes procyonoides (Gray, 1834)",ACCEPTED,2434552,"Nyctereutes procyonoides (Gray, 1834)",SPECIES,Animalia
160926879,105006,"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1831",ACCEPTED,2402129,"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833",SPECIES,Animalia
160926883,105034,Cornus alba subsp. alba,,,Cornus alba subsp. alba,,
160926885,105035,Cornus alba subsp. stolonifera (Michx.) Wangerin,,,Cornus alba subsp. stolonifera (Michx.) Wangerin,,
160926887,105036,"Cyprinus carpio Linnaeus, 1758",ACCEPTED,4286975,"Cyprinus carpio Linnaeus, 1758",SPECIES,Animalia
160926889,105004,Achillea ptarmica L.,ACCEPTED,3120333,Achillea ptarmica L.,SPECIES,Plantae
160926892,105002,"Acartia tonsa Dana, 1849",ACCEPTED,2114446,"Acartia tonsa Dana, 1849",SPECIES,Animalia
160926896,105088,"Rhithropanopeus harrisii (Gould, 1841)",ACCEPTED,2227663,"Rhithropanopeus harrisii (Gould, 1841)",SPECIES,Animalia
160926898,105001,Abies sibirica Ledeb.,ACCEPTED,2685654,Abies sibirica Ledeb.,SPECIES,Plantae
160926899,105000,Abies balsamea Mill.,ACCEPTED,2685383,Abies balsamea (L.) Mill.,SPECIES,Plantae
163433495,105107,"Tubificoides pseudogaster (Dahl, 1960)",ACCEPTED,2308676,"Tubificoides pseudogaster (Dahl, 1960)",SPECIES,Animalia
163433538,105096,Setaria pumila (Poir.) Roem. & Schult.,ACCEPTED,5289693,Setaria pumila (Poir.) Roem. & Schult.,SPECIES,Plantae
