taxonKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
160844659,60007,"Acanthophora nayadiformis (Delile) Papenf., 1968",ACCEPTED,5277294,"Acanthophora nayadiformis (Delile) Papenf., 1968",SPECIES,Plantae
160844661,60109,"Crassostrea gigas (Thunberg, 1793)",HETEROTYPIC_SYNONYM,7820753,"Magallana gigas (Thunberg, 1793)",SPECIES,Animalia
160844663,60124,"Dendostrea Swainson, 1835",ACCEPTED,2286094,"Dendostrea Swainson, 1835",GENUS,Animalia
160844668,60231,Pinus halepensis Mill.,ACCEPTED,5285604,Pinus halepensis Mill.,SPECIES,Plantae
160844669,60062,"Brachidontes pharaonis (P.Fischer, 1870)",ACCEPTED,4374596,"Brachidontes pharaonis (P.Fischer, 1870)",SPECIES,Animalia
160844670,60232,Pinus pinea L.,ACCEPTED,5285165,Pinus pinea L.,SPECIES,Plantae
160844674,60113,Cupressus sempervirens L.,ACCEPTED,2684030,Cupressus sempervirens L.,SPECIES,Plantae
160844675,60056,"Atactodea striata (Gmelin, 1791)",ACCEPTED,4371524,"Atactodea striata (Gmelin, 1791)",SPECIES,Animalia
160844679,60046,Araucaria heterophylla (Salisb.) Franco,ACCEPTED,2684969,Araucaria heterophylla (Salisb.) Franco,SPECIES,Plantae
160844680,60202,"Ondina michaelae Cachia & Mifsud, 2015",ACCEPTED,8014925,"Ondina michaelae Cachia & Mifsud, 2015",SPECIES,Animalia
160844687,60281,Washingtonia filifera (Rafarin) H.Wendl. ex de Bary,ACCEPTED,5294589,Washingtonia filifera (Rafarin) H.Wendl. ex de Bary,SPECIES,Plantae
160844688,60150,"Gibbula cineraria (Linnaeus, 1758)",HETEROTYPIC_SYNONYM,9514986,"Steromphala cineraria (Linnaeus, 1758)",SPECIES,Animalia
160844689,60282,Washingtonia robusta,ACCEPTED,5294595,Washingtonia robusta H.Wendl.,SPECIES,Plantae
160844690,60272,"Stomatella Rafinesque, 1815",DOUBTFUL,7761140,"Stomatella Rafinesque, 1815",GENUS,Animalia
160844691,60225,Phoenix dactylifera L.,ACCEPTED,6109699,Phoenix dactylifera L.,SPECIES,Plantae
160844694,60224,Phoenix canariensis H.Wildpret,ACCEPTED,7445284,Phoenix canariensis H.Wildpret,SPECIES,Plantae
160844695,60114,"Cuvierina cancapae A.W.Janssen, 2005",ACCEPTED,4359336,"Cuvierina cancapae A.W.Janssen, 2005",SPECIES,Animalia
160844702,60194,Musa cavendishii Lamb. ex Paxton,SYNONYM,2762680,Musa acuminata Colla,SPECIES,Plantae
160844703,60200,"Notocochlis gualteriana Recluz, 1844",ACCEPTED,2300285,"Notocochlis gualteriana (Récluz, 1844)",SPECIES,Animalia
160844707,60110,"Crepidula fornicata (Linnaeus, 1758)",ACCEPTED,5192789,"Crepidula fornicata (Linnaeus, 1758)",SPECIES,Animalia
160844709,60128,Eichhornia crassipes Solms,HOMOTYPIC_SYNONYM,2765942,Pontederia crassipes Mart.,SPECIES,Plantae
160844710,60092,"Cerithium scabridum Philippi, 1848",ACCEPTED,4362895,"Cerithium scabridum R.A.Philippi, 1848",SPECIES,Animalia
160844713,60106,Commelina erecta L.,ACCEPTED,2764389,Commelina erecta L.,SPECIES,Plantae
160844718,60096,"Chelidonura fulvipunctata Baba, 1938",SYNONYM,9746127,"Biuve fulvipunctata (Baba, 1938)",SPECIES,Animalia
160844720,60119,Cyperus eragrostis Lam.,ACCEPTED,2715482,Cyperus eragrostis Lam.,SPECIES,Plantae
160844722,60118,Cyperus alternifolius L.,ACCEPTED,2714156,Cyperus alternifolius L.,SPECIES,Plantae
160844723,60058,"Atys macandrewii E.A.Smith, 1872",SYNONYM,10513850,"Weinkauffia macandrewii (E.A.Smith, 1872)",SPECIES,Animalia
