taxonKey,taxonID,scientificName,kingdom,taxonRank
160943161,119878,Ramaria rubripermanens Marr & D.E.Stuntz,Fungi,SPECIES
160943163,119172,Campylopus introflexus (Hedw.) Brid.,Plantae,SPECIES
160943165,119145,"Branchiura sowerbyi Beddard, 1892",Animalia,SPECIES
160943171,119791,Phallogaster saccatus Morgan,Fungi,SPECIES
160943173,119128,"Barbronia weberi (Blanchard, 1897)",Animalia,SPECIES
160943178,119833,Porphyra yezoensis,Plantae,SPECIES
160943179,119442,Geastrum smardae V.J.Stanĕk,Fungi,SPECIES
160943181,119441,Geastrum corollinum (Batsch) Hollós,Fungi,SPECIES
4346612,119076,"Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974",Animalia,SPECIES
160943190,119659,Mutinus ravenelii (Berk.) E.Fisch.,Fungi,SPECIES
160943191,119244,Compsopogon coeruleus (Balb. ex C.Agardh) Mont.,Plantae,SPECIES
160943193,119658,Mutinus elegans (Mont.) E.Fisch.,Fungi,SPECIES
160943196,119235,Clathrus archeri (Berk.) Dring,Fungi,SPECIES
160943203,119454,Gracilaria vermiculophylla (Ohmi) Papenfuss,Plantae,SPECIES
160943204,119657,"Musculium transversum (Say, 1829)",Animalia,SPECIES
160943205,120049,Typhula spathulata (Corner) Berthier,Fungi,SPECIES
160943211,120091,Volvariella volvacea (Bull.) Singer,Fungi,SPECIES
160943212,119311,Dasya baillouviana (Gmelin) Mont.,Plantae,SPECIES
8485639,119368,"Ensis leei M.Huber, 2015",Animalia,SPECIES
160943219,119369,"Ensis directus (Conrad, 1844)",Animalia,SPECIES
160943220,119143,Bonnemaisonia hamifera Hariot,Plantae,SPECIES
2533993,119987,Leratiomyces percevalii (Berk. & Broome) Bridge & Spooner,Fungi,SPECIES
160943227,119784,"Petricolaria pholadiformis (Lamarck, 1818)",Animalia,SPECIES
160943228,119661,Mycena alphitophora (Berk.) Sacc.,Fungi,SPECIES
160943233,119249,"Corbicula fluminalis (O.F.Müller, 1774)",Animalia,SPECIES
160943235,119933,Selaginella apoda (L.) Spring,Plantae,SPECIES
160943236,119250,"Corbicula fluminea (O.F.Müller, 1774)",Animalia,SPECIES
5453974,120046,Tulostoma subfuscum V.S.White,Fungi,SPECIES
160943239,120045,Tulostoma giovanellae Bres.,Fungi,SPECIES
160943242,119662,Mycenastrum corium (Guers.) Desv.,Fungi,SPECIES
160943244,119571,Leucocoprinus cretaceus (Bull.) Locq.,Fungi,SPECIES
160943246,119570,Leucocoprinus cepistipes (Sowerby) Pat.,Fungi,SPECIES
160943247,120021,"Teredo navalis Linnaeus, 1758",Animalia,SPECIES
160943248,119866,Pseudotsuga menziesii (Mirb.) Franco,Plantae,SPECIES
160943249,119572,Leucocoprinus straminellus (Bagl.) Narducci & Caroti,Fungi,SPECIES
160943251,119806,Pinus nigra J.F.Arnold,Plantae,SPECIES
160943252,119569,Leucoagaricus americanus (Peck) Vellinga,Fungi,SPECIES
160943254,119603,Lycoperdon marginatum Vittad.,Fungi,SPECIES
160943255,119807,Pinus nigra subsp. nigra,Plantae,SUBSPECIES
2287076,119245,"Mytilopsis leucophaeata (Conrad, 1831)",Animalia,SPECIES
160943258,119808,Pinus strobus L.,Plantae,SPECIES
160943259,119669,"Mytilopsis leucophaeata (Conrad, 1831)",Animalia,SPECIES
160943260,119544,Laccaria fraterna (Sacc.) Pegler,Fungi,SPECIES
160943262,119668,"Mytilopsis leucophaeata (Conrad, 1831)",Animalia,SPECIES
160943265,119338,"Dreissena polymorpha (Pallas, 1771)",Animalia,SPECIES
160943266,119724,Omphalotus illudens (Schwein.) Bresinsky & Besl,Fungi,SPECIES
160943267,119337,"Dreissena bugensis (Andrusov, 1897)",Animalia,SPECIES
160943269,119556,Lentinula edodes (Berk.) Pegler,Fungi,SPECIES
2287073,119339,"Dreissena bugensis (Andrusov, 1897)",Animalia,SPECIES
160943271,119123,Azolla filiculoides Lam.,Plantae,SPECIES
11812602,119461,Collybiopsis luxurians (Peck) R.H.Petersen,Fungi,SPECIES
5242441,119986,Psilocybe aurantiaca (Cooke) Noordel.,Fungi,SPECIES
7820753,119275,"Magallana gigas (Thunberg, 1793)",Animalia,SPECIES
160943283,120044,Tulipa sylvestris L.,Plantae,SPECIES
160943286,119425,Fritillaria meleagris L.,Plantae,SPECIES
160943287,119989,Stropharia rugosoannulata var. rugosoannulata,Fungi,VARIETY
160943290,119988,Stropharia rugosoannulata var. exima (Benedix) Kreisel,Fungi,VARIETY
160943291,120054,"Unio mancus Lamarck, 1819",Animalia,SPECIES
160943293,119460,Gymnopilus purpuratus (Cooke & Massee) Singer,Fungi,SPECIES
160943294,119947,"Sinanodonta woodiana (I.Lea, 1834)",Animalia,SPECIES
160943295,119909,Sagittaria latifolia Willd.,Plantae,SPECIES
4559541,119079,"Sinanodonta woodiana (I.Lea, 1834)",Animalia,SPECIES
160943302,119141,Bolbitius coprophilus (Peck) Hongo,Fungi,SPECIES
160943303,119810,Pistia stratiotes L.,Plantae,SPECIES
160943306,119554,Lemna minuta Kunth,Plantae,SPECIES
160943307,120026,"Theodoxus danubialis (C.Pfeiffer, 1828)",Animalia,SPECIES
2867614,119553,Lemna minuta Kunth,Plantae,SPECIES
160943310,120027,"Theodoxus transversalis (C.Pfeiffer, 1828)",Animalia,SPECIES
160943311,119927,Scleroderma cepa Pers.,Fungi,SPECIES
160943312,119555,Lemna turionifera Landolt,Plantae,SPECIES
160943315,119552,Lemna aequinoctialis Welw.,Plantae,SPECIES
160943316,119991,Suillus amabilis (Peck) Singer,Fungi,SPECIES
160943318,119607,Lysichiton americanus Hultén & H.St.John,Plantae,SPECIES
8187261,120062,"Borysthenia naticina (Menke, 1845)",Animalia,SPECIES
160943322,119888,Rhizopogon villosulus Zeller,Fungi,SPECIES
160943324,120061,Vallisneria spiralis L.,Plantae,SPECIES
160943326,119630,"Melanoides tuberculata (O.F.Müller, 1774)",Animalia,SPECIES
7908614,119670,Najas marina subsp. intermedia (Wolfg. ex Gorski) Casper,Plantae,SUBSPECIES
160943328,119246,Coniophora prasinoides (Bourdot & Galzin) Bourdot & Galzin,Fungi,SPECIES
160943331,119546,Lagarosiphon major (Ridl.) Moss,Plantae,SPECIES
160943333,119120,Aureoboletus projectellus (Murrill) Halling,Fungi,SPECIES
160943334,119505,Hydrilla verticillata (L.f.) Royle,Plantae,SPECIES
8343100,119604,"Ladislavella catascopium (Say, 1817)",Animalia,SPECIES
160943336,119364,Elodea nuttallii (Planch.) H.St.John,Plantae,SPECIES
160943338,119363,Elodea canadensis Michx.,Plantae,SPECIES
2291334,119605,"Pseudosuccinea columella (Say, 1817)",Animalia,SPECIES
160943340,119362,Elodea callitrichoides (Rich.) Casp.,Plantae,SPECIES
5329263,119357,Elodea densa (Planch.) Casp.,Plantae,SPECIES
