taxonKey,nubKey,taxonID,scientificName,acceptedKey,accepted,kingdom,taxonRank
148693472,5361880,20559,Cannabis sativa L.,,,Plantae,
148693474,2411793,20529,"Atherinomorus lacunosus (Forster, 1801)",,,Animalia,
148693478,3040255,20935,Reseda odorata L.,,,Plantae,
148693479,2359706,20950,"Rutilus rutilus (Linnaeus, 1758)",,,Animalia,
148693481,5851603,20758,"Leuciscus aspius (Linnaeus, 1758)",,,Animalia,
148693483,4286975,20636,"Cyprinus carpio Linnaeus, 1758",,,Animalia,
148693484,3052680,21027,Thlaspi arvense L.,201365275,Sinapis arvensis L.,Plantae,
148693486,4286942,20560,"Carassius auratus (Linnaeus, 1758)",,,Animalia,
148693487,2359471,20539,"Blicca bjoerkna (Linnaeus, 1758)",,,Animalia,
148693488,5375936,20669,Eruca sativa Mill.,201365274,Eruca vesicaria (L.) Cav.,Plantae,
148693489,2362925,20479,"Alburnus alburnus (Linnaeus, 1758)",,,Animalia,
148693490,3047621,20977,Sinapis alba L.,,,Plantae,
148693492,7678610,20933,Raphanus sativus L.,,,Plantae,
148693494,2394249,20993,"Sphyraena obtusata Cuvier, 1829",,,Animalia,
148693495,2394252,20992,"Sphyraena chrysotaenia Klunzinger, 1884",,,Animalia,
148693496,5377378,20787,Matthiola incana (L.) W.T.Aiton,,,Plantae,
148693497,,20994,"Sphyraena pinguis GÃ¼nther, 1874",,,Animalia,
148693499,2393577,20960,"Scarus ghobban ForsskÃ¥l, 1775",,,Animalia,
148693500,5376565,20750,Lepidium sativum L.,,,Plantae,
148693501,5376648,20751,Lepidium virginicum L.,,,Plantae,
148693503,5373358,20772,Lobularia maritima (L.) Desv.,,,Plantae,
148693504,2374255,20961,"Scomberomorus commerson (LacepÃ¨de, 1800)",,,Animalia,
148693505,5375925,20670,Eruca vesicaria subsp. sativa (Mill.) Thell.,,,Plantae,
148693507,3048203,20672,Erysimum cheiri Crantz,,,Plantae,
148693508,2390185,20974,"Siganus rivulatus ForsskÃ¥l, 1775",,,Animalia,
148693509,2390262,20973,"Siganus luridus (RÃ¼ppell, 1829)",,,Animalia,
148693510,3042636,20546,Brassica napus L.,,,Plantae,
148693511,7903057,20547,Brassica rapa L.,,,Plantae,
148693513,8052612,20976,"Sillago suezensis Fricke, Golani & Tikochinski, 2013",,,Animalia,
148693514,2391929,20975,"Sillago sihama (ForsskÃ¥l, 1775)",,,Animalia,
148693517,2382872,20899,"Pomadasys stridens (ForsskÃ¥l, 1775)",,,Animalia,
148693520,2892272,20949,Rubia tinctorum L.,,,Plantae,
148693521,8363171,20919,"Pteragogus trispilus Randall, 2013",,,Animalia,
148693522,2383590,20918,"Pteragogus pelycus Randall, 1981",,,Animalia,
148693525,3169708,21054,Vinca major L.,,,Plantae,
148693526,8140485,20866,"Perca fluviatilis Linnaeus, 1758",,,Animalia,
148693527,7813493,21026,Thevetia peruviana Merr.,,,Plantae,
148693529,9621888,20892,"Poacynum venetum (L.) Mavrodiev, Laktionov & Yu.E.Alexeev",,,Plantae,
148693530,2374391,20861,"Pempheris rhomboidea Kossmann & RÃ¤uber, 1877",,,Animalia,
148693531,7150619,20696,Gomphocarpus fruticosus (L.) Ait.,,,Plantae,
148693532,2374389,20860,"Pempheris mangula Cuvier, 1829",,,Animalia,
148693533,2374398,20862,"Pempheris vanicolensis Cuvier, 1831",,,Animalia,
148693534,3169652,20570,Cascabela thevetia (L.) Lippold,,,Plantae,
148693535,3169652,20571,Cascabela thevetia (L.) Lippold,,,Plantae,
148693537,3170241,20522,Asclepias curassavica L.,,,Plantae,
148693538,4285694,20838,"Oreochromis niloticus (Linnaeus, 1758)",,,Animalia,
148693539,3619922,20516,Apocynum venetum L.,,,Plantae,
148693540,2372367,20837,"Oreochromis aureus (Steindachner, 1864)",,,Animalia,
148693544,5371782,20681,Falcaria vulgaris Bernh.,,,Plantae,
148693545,2396768,21046,"Upeneus moluccensis (Bleeker, 1855)",,,Animalia,
148693546,3034871,20620,Coriandrum sativum L.,,,Plantae,
148693547,2396797,21047,"Upeneus pori Ben-Tuvia & Golani, 1989",,,Animalia,
148693548,2396749,20855,"Parupeneus forsskali (Fourmanoir & GuÃ©zÃ©, 1976)",,,Animalia,
148693550,3034646,20498,Anethum graveolens L.,,,Plantae,
148693551,2394563,20806,"Micropterus salmoides (LacepÃ¨de, 1802)",,,Animalia,
148693553,2394486,20754,"Lepomis gibbosus (Linnaeus, 1758)",,,Animalia,
148693556,3084719,20900,Portulaca oleracea L.,,,Plantae,
148693557,2396338,20664,"Equulites klunzingeri (Steindachner, 1898)",,,Animalia,
148693559,7193045,20840,"Ostorhinchus fasciatus (White, 1790)",,,Animalia,
148693561,3082283,20891,Plumbago auriculata Lam.,,,Plantae,
148693562,5853511,20517,"Apogonichthyoides pharaonis (Bellotti, 1874)",,,Animalia,
148693566,4034909,20869,Persicaria lanigera (R.Br.) Sojak,201365291,Persicaria lapathifolia (L.) Delarbre,Plantae,
148693567,2390581,20480,"Alepes djedaba (ForsskÃ¥l, 1775)",,,Animalia,
148693569,5209188,20467,"Acanthurus coeruleus Bloch & Schneider, 1801",,,Animalia,
148693570,4034781,20870,Persicaria lapathifolia var. lanigera (R.Br.) Chantar. & Tubtimtong,,,Plantae,
148693575,3084015,20880,Phytolacca americana L.,,,Plantae,
148693577,1017419,20843,"Oxidus gracilis (Koch & C.L., 1847)",,,Animalia,
148693582,5384064,20836,Opuntia ficus-indica Mill.,,,Plantae,
148693583,6463086,20700,"Hamimaera hamigera (Haswell, 1879)",,,Animalia,
148693585,3086240,20807,Mirabilis jalapa L.,,,Plantae,
148693589,5384459,20698,Gypsophila pilosa Huds.,,,Plantae,
148693590,4316681,20671,"Erugosquilla massavensis (Kossmann, 1880)",,,Animalia,
148693593,3084839,20797,Mesembryanthemum crystallinum L.,,,Plantae,
148693595,8185812,20796,Mesembryanthemum cordifolium L.f.,,,Plantae,
