taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160851500,2441110,CZ,present,introduced,,,,
160851501,5298086,CZ,present,introduced,,,,
6165157,2441116,CZ,present,introduced,,,,
160851503,2441005,CZ,present,introduced,,,,
160851504,5298069,CZ,present,introduced,,,,
160851506,2747489,CZ,present,introduced,,,,
160851508,2747939,CZ,present,introduced,,,,
160851510,2747567,CZ,present,introduced,,,,
160851511,2477464,CZ,present,introduced,,,,
160851512,2747737,CZ,present,introduced,,,,
160851514,2747430,CZ,present,introduced,,,,
160851516,2498384,CZ,present,introduced,,,,
160851518,2498387,CZ,present,introduced,,,,
160851519,8080743,CZ,present,introduced,,,,
160851521,2767229,CZ,present,introduced,,,,
160851523,2767271,CZ,present,introduced,,,,
160851524,2473341,CZ,present,introduced,,,,
160851525,2767275,CZ,present,introduced,,,,
160851527,5228080,CZ,present,introduced,,,,
160851528,2767579,CZ,present,introduced,,,,
160851530,2770039,CZ,present,introduced,,,,
160851531,2473477,CZ,present,introduced,,,,
160851532,2767428,CZ,present,introduced,,,,
160851533,9451184,CZ,present,introduced,,,,
160851534,2773281,CZ,present,introduced,,,,
160851535,5227966,CZ,present,introduced,,,,
160851536,2772094,CZ,present,introduced,,,,
160851537,9606290,CZ,present,introduced,,,,
160851538,8152187,CZ,present,introduced,,,,
160851539,5228034,CZ,present,introduced,,,,
160851540,2771287,CZ,present,introduced,,,,
160851541,2474055,CZ,present,introduced,,,,
160851542,5304257,CZ,present,introduced,,,,
160851543,2474051,CZ,present,introduced,,,,
160851544,2474029,CZ,present,introduced,,,,
160851545,2767598,CZ,present,introduced,,,,
160851547,7459480,CZ,present,introduced,,,,
160851548,2768885,CZ,present,introduced,,,,
160851552,2379235,CZ,present,introduced,,,,
160851553,2858581,CZ,present,introduced,,,,
160851555,2858244,CZ,present,introduced,,,,
160851556,2394563,CZ,present,introduced,,,,
160851557,2857449,CZ,present,introduced,,,,
160851559,2857017,CZ,present,introduced,invasive,,,
160851561,2856681,CZ,present,introduced,,,,
160851562,4286327,CZ,present,introduced,,,,
