taxonKey,taxonID,scientificName,kingdom,taxonRank
160851371,75355,Orthodontium lineare Schwägr.,Plantae,SPECIES
160851375,75803,"Strongyloides myopotami Artigas & Pacheco, 1933",Animalia,SPECIES
160851377,75804,"Strongyloides ratti Sandground, 1925",Animalia,SPECIES
7708376,74700,Dicranoweisia cirrata (Hedw.) Lindb. ex Milde,Plantae,SPECIES
160851382,74929,"Globodera rostochiensis (Wollenweber, 1923) Skarbilovich, 1959",Animalia,SPECIES
160851385,74698,Dianthus chinensis L.,Plantae,SPECIES
160851387,74435,Campylopus introflexus (Hedw.) Brid.,Plantae,SPECIES
160851388,75824,"Syphacia muris (Yamaguti, 1935)",Animalia,SPECIES
160851391,74331,"Baylisascaris procyonis (Stefanski & Zarnowski, 1951)",Animalia,SPECIES
160851395,74288,"Ascaridia dissimilis Vigueras, 1931",Animalia,SPECIES
160851396,74289,"Ascaridia platyceri Hartwich & Tscherner, 1979",Animalia,SPECIES
160851399,75532,Pteris multifida Poir.,Plantae,SPECIES
12212967,75327,"Oesophagostomum columbianum (Curtice, 1890) Stossich, 1899",Animalia,SPECIES
160851404,75193,Matteuccia struthiopteris (L.) Tod.,Plantae,SPECIES
160851405,74701,"Dictyocaulus filaria (Rudolphi, 1809) Railliet & Henry, 1907",Animalia,SPECIES
160851408,74662,Cystopteris bulbifera (L.) Bernh.,Plantae,SPECIES
160851409,75508,"Protostrongylus rufescens (Leuckart, 1865)",Animalia,SPECIES
160851410,75249,"Muellerius capillaris (Müller, 1889)",Animalia,SPECIES
160851412,75250,"Muellerius tenuispiculatus Gebauer, 1932",Animalia,SPECIES
160851414,75276,"Neostrongylus linearis (Marotel, 1913)",Animalia,SPECIES
160851415,74661,"Cystocaulus ocreatus (Railliet & Henry, 1907)",Animalia,SPECIES
160851416,74323,Azolla filiculoides Lam.,Plantae,SPECIES
160851418,75780,"Spiculopteragia asymmetrica (Ware, 1925)",Animalia,SPECIES
160851420,75358,"Ostertagia mossi Dikmans, 1931",Animalia,SPECIES
160851422,75190,"Marshallagia marshalli (Ransom, 1907)",Animalia,SPECIES
160851423,74587,"Cooperia curticei (Giles, 1892)",Animalia,SPECIES
160851425,74291,"Ashworthius sidemi Schulz, 1933",Animalia,SPECIES
160851426,75898,Tulipa sylvestris L.,Plantae,SPECIES
160851429,75897,Tulipa gesneriana L.,Plantae,SPECIES
160851430,74934,"Gongylonema neoplasticum (Fibiger & Ditlevsen, 1914)",Animalia,SPECIES
160851431,75113,Lilium bulbiferum L.,Plantae,SPECIES
160851433,75114,Lilium candidum L.,Plantae,SPECIES
4346612,74230,"Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974",Animalia,SPECIES
160851435,74824,Erythronium dens-canis L.,Plantae,SPECIES
160851437,74879,Gagea villosa (M.Bieb.) Sweet,Plantae,SPECIES
160851440,74868,Fritillaria meleagris L.,Plantae,SPECIES
160851443,74969,"Hemidactylus turcicus (Linnaeus, 1758)",Animalia,SPECIES
160851446,75644,Sagittaria latifolia Willd.,Plantae,SPECIES
160851448,75838,"Testudo horsfieldii Gray, 1844",Animalia,SPECIES
160851450,75836,"Testudo graeca Linnaeus, 1758",Animalia,SPECIES
160851451,75837,"Testudo hermanni Gmelin, 1789",Animalia,SPECIES
160851452,75472,Pistia stratiotes L.,Plantae,SPECIES
160851454,75084,Lemna turionifera Landolt,Plantae,SPECIES
160851455,74769,"Emys orbicularis (Linnaeus, 1758)",Animalia,SPECIES
160851460,75915,Vallisneria spiralis L.,Plantae,SPECIES
160851461,75868,"Trichosurus vulpecula (Kerr, 1792)",Animalia,SPECIES
5329263,74758,Elodea densa (Planch.) Casp.,Plantae,SPECIES
160851465,74765,Elodea nuttallii (Planch.) H.St.John,Plantae,SPECIES
160851466,75257,"Myocastor coypus (Molina, 1782)",Animalia,SPECIES
160851467,74764,Elodea canadensis Michx.,Plantae,SPECIES
160851470,75331,"Ondatra zibethicus (Linnaeus, 1766)",Animalia,SPECIES
160851474,75492,Pontederia cordata L.,Plantae,SPECIES
5218823,75277,"Mustela vison Schreber, 1777",Animalia,SPECIES
2765942,74759,Pontederia crassipes Mart.,Plantae,SPECIES
160851478,75297,"Nyctereutes procyonoides (Gray, 1834)",Animalia,SPECIES
160851481,74574,Commelina communis L.,Plantae,SPECIES
160851483,75057,"Lama glama guanicoe (Müller, 1776)",Animalia,SUBSPECIES
160851487,75299,"Odocoileus virginianus (Zimmermann, 1780)",Animalia,SPECIES
160851488,74967,Hemerocallis fulva (L.) L.,Plantae,SPECIES
160851489,74676,"Dama dama (Linnaeus, 1758)",Animalia,SPECIES
160851490,74968,Hemerocallis lilioasphodelus L.,Plantae,SPECIES
