taxonKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
163302551,166725,Tenebroides mauritanicus (Linnaeus),ACCEPTED,1161887,"Tenebroides mauritanicus (Linnaeus, 1758)",SPECIES,Animalia
163302552,166064,Anisantha rubens (L.) Nevski,SYNONYM,2703740,Bromus rubens L.,SPECIES,Plantae
163302554,166789,Vulpia myuros (L.) C.C.Gmel.,SYNONYM,2702727,Festuca myuros L.,SPECIES,Plantae
163302555,166611,"Rhyzopertha dominica (Fabricius, 1792)",ACCEPTED,1095716,"Rhyzopertha dominica (Fabricius, 1792)",SPECIES,Animalia
163302558,166232,Crypsis schoenoides (L.) Lam.,HETEROTYPIC_SYNONYM,9382716,Sporobolus schoenoides (L.) P.M.Peterson,SPECIES,Plantae
163302559,166511,"Oryzaephilus mercator (Fauvel, 1889)",ACCEPTED,1043870,"Oryzaephilus mercator (Fauvel, 1889)",SPECIES,Animalia
163302560,166512,"Oryzaephilus surinamensis (Linnaeus, 1758)",ACCEPTED,1043875,"Oryzaephilus surinamensis (Linnaeus, 1758)",SPECIES,Animalia
163302563,166278,Eragrostis minor Host,ACCEPTED,2705449,Eragrostis minor Host,SPECIES,Plantae
163302564,166476,"Mycetophagus quadriguttatus MÃ¼ller, 1821",,,"Mycetophagus quadriguttatus MÃ¼ller, 1821",,
163302565,166477,"Mycetophagus tschitscherini Reitter, 1897",ACCEPTED,4458728,"Mycetophagus tschitscherini Reitter, 1897",SPECIES,Animalia
163302568,166121,Beckmannia eruciformis Host,ACCEPTED,5290063,Beckmannia eruciformis (L.) Host,SPECIES,Plantae
163302569,166593,"Ptinus clavipes Panzer, 1792",HETEROTYPIC_SYNONYM,1095800,"Ptinus latro Fabricius, 1775",SPECIES,Animalia
163302571,166488,"Niptus hololeucus (Falderman, 1836)",ACCEPTED,1095760,"Niptus hololeucus (Faldermann, 1835)",SPECIES,Animalia
163302572,166134,Bromopsis erecta (Huds.) Fourr.,SYNONYM,7647071,Bromus erectus Huds.,SPECIES,Plantae
163302575,166707,"Stegobium paniceum (Linnaeus, 1758)",ACCEPTED,1095652,"Stegobium paniceum (Linnaeus, 1758)",SPECIES,Animalia
163302576,166382,"Lasioderma serricorne (Fabricius, 1792)",ACCEPTED,4998194,"Lasioderma serricorne Fabricius, 1792",SPECIES,Animalia
163302577,166136,Bromus brizaeformis Fischer & C.Meyer,SYNONYM,2703682,Bromus briziformis Fisch. & C.A.Mey.,SPECIES,Plantae
163302580,166338,"Harmonia axyridis (Pallas, 1773)",ACCEPTED,4989904,"Harmonia axyridis (Pallas, 1773)",SPECIES,Animalia
163302581,166135,Bromopsis riparia (Rehmann) Holub,SYNONYM,4109815,Bromus riparius Rehmann,SPECIES,Plantae
163302585,166138,Bromus japonicus Thunb.,HETEROTYPIC_SYNONYM,7226794,Bromus japonicus subsp. japonicus,SUBSPECIES,Plantae
163302586,166710,"Stromatium unicolor Danilevsky, 2012",SYNONYM,7467841,"Stromatium auratum (Böber, 1793)",SPECIES,Animalia
163302587,166696,Sorghum halepense Pers.,ACCEPTED,2705185,Sorghum halepense (L.) Pers.,SPECIES,Plantae
163302588,166667,Setaria verticillata (L.) P.Beauv.,ACCEPTED,5289686,Setaria verticillata (L.) P.Beauv.,SPECIES,Plantae
163302589,166469,"Monochamus saltuarius Gebler, 1830",ACCEPTED,1155839,"Monochamus saltuarius Gebler, 1830",SPECIES,Animalia
163302590,166666,Setaria italica P.Beauv.,ACCEPTED,5289698,Setaria italica (L.) P.Beauv.,SPECIES,Plantae
163302591,166482,"Nathrius brevipennis (Mulsant, 1839)",ACCEPTED,1107218,"Nathrius brevipennis (Mulsant, 1839)",SPECIES,Animalia
163302592,166658,Secale montanum Guss.,SYNONYM,4121049,Secale strictum (C.Presl) C.Presl,SPECIES,Plantae
163302593,166491,"Oberea pupillata (Gyllenhal, 1817)",ACCEPTED,1096678,"Oberea pupillata (Gyllenhal, 1817)",SPECIES,Animalia
163302594,166331,"Gracilia minuta (Fabricius, 1781)",ACCEPTED,5000208,"Gracilia minuta (Fabricius, 1781)",SPECIES,Animalia
163302595,166023,Aegilops cylindrica Host,ACCEPTED,5289783,Aegilops cylindrica Host,SPECIES,Plantae
