taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
148741965,2331942,DK,present,introduced,invasive,,,
148741967,7227584,DK,present,introduced,,,,
148741968,2331498,DK,present,introduced,invasive,,,
148741973,2858501,DK,present,introduced,,,,
148741974,2858581,DK,present,introduced,,,,
148741976,10030688,DK,present,introduced,,,,
148741977,2858244,DK,present,introduced,,,,
148741978,2860425,DK,present,introduced,,,,
148741981,2860409,DK,present,introduced,,,,
148741982,2855356,DK,present,introduced,,,,
148741983,2441454,DK,present,introduced,,,,
148741984,2857616,DK,present,introduced,,,,
148741986,2856476,DK,present,introduced,,,,
148741987,6157026,DK,present,introduced,invasive,,,
148741988,7062200,DK,present,introduced,invasive,,,
148741989,8909809,DK,present,introduced,,,,
148741990,2855963,DK,present,introduced,,,,
148741994,2436940,DK,present,introduced,,,,
148741995,2856009,DK,present,introduced,,,,
148741998,2857697,DK,present,introduced,,,,
148741999,2856834,DK,present,introduced,,,,
148742000,5218786,DK,present,introduced,invasive,,,
148742003,2855825,DK,present,introduced,,,,
148742005,5219303,DK,present,introduced,,,,
148742006,2434552,DK,present,introduced,invasive,,,
148742009,2857017,DK,present,introduced,,,,
148742011,2856780,DK,present,introduced,,,,
148742012,2856504,DK,present,introduced,,,,
148742014,2435035,DK,present,introduced,invasive,,,
148742017,2441122,DK,present,introduced,,,,
148742020,2440946,DK,present,introduced,invasive,,,
148742022,2873769,DK,present,introduced,,,,
148742023,5220136,DK,present,introduced,invasive,,,
148742025,2440954,DK,present,introduced,,,,
148742028,2702084,DK,present,introduced,,,,
148742030,2701612,DK,present,introduced,,,,
148742032,8055487,DK,present,introduced,,,,
148742033,2437450,DK,present,introduced,invasive,,,
148742035,2715482,DK,present,introduced,,,,
148742036,4264680,DK,present,introduced,invasive,,,
148742038,8243603,DK,present,introduced,,,,
148742039,2439261,DK,present,introduced,invasive,,,
148742040,7429082,DK,present,introduced,,,,
148742041,5219721,DK,present,introduced,,,,
148742042,5219833,DK,present,introduced,,,,
148742043,2715729,DK,present,introduced,,,,
148742044,2724120,DK,present,introduced,,,,
148742046,2725766,DK,present,introduced,,,,
148742047,2439683,DK,present,introduced,,,,
148742048,2728048,DK,present,introduced,,,,
148742050,5219858,DK,present,introduced,invasive,,,
148742051,2728143,DK,present,introduced,,,,
148742052,2438482,DK,present,introduced,,,,
148742053,2438704,DK,present,introduced,,,,
148742056,5219702,DK,present,introduced,,,,
148742064,2474416,DK,present,introduced,,,,
148742069,2480764,DK,present,introduced,,,,
148742071,2480800,DK,present,introduced,,,,
148742075,2480353,DK,present,introduced,,,,
148742076,2480350,DK,present,introduced,,,,
148742078,2480352,DK,present,introduced,,,,
148742084,5229055,DK,present,introduced,,,,
148742085,2479226,DK,present,introduced,invasive,,,
148742086,2479407,DK,present,introduced,,,,
148742088,2479798,DK,present,introduced,,,,
148742092,2495414,DK,present,introduced,,,,
148742098,9791464,DK,present,introduced,,,,
148742101,5228080,DK,present,introduced,,,,
148742104,2473577,DK,present,introduced,,,,
148742106,9752149,DK,present,introduced,invasive,,,
148742107,5228034,DK,present,introduced,,,,
148742108,2474051,DK,present,introduced,invasive,,,
148742115,2498015,DK,present,introduced,,,,
148742116,2703592,DK,present,introduced,,,,
148742117,2498305,DK,present,introduced,invasive,,,
148742118,2705869,DK,present,introduced,,,,
148742120,2498408,DK,present,introduced,,,,
148742122,2498390,DK,present,introduced,,,,
148742123,2498344,DK,present,introduced,,,,
148742125,2498329,DK,present,introduced,,,,
148742127,2703228,DK,present,introduced,,,,
148742128,5290052,DK,present,introduced,,,,
148742129,5289596,DK,present,introduced,,,,
148742130,5232437,DK,present,introduced,invasive,,,
148742132,5679032,DK,present,introduced,,,,
148742133,5679007,DK,present,introduced,,,,
148742134,2498264,DK,present,introduced,,,,
148742135,4145057,DK,present,introduced,,,,
148742136,2498034,DK,present,introduced,,,,
148742137,2498035,DK,present,introduced,,,,
148742138,4144940,DK,present,introduced,,,,
148742139,2498073,DK,present,introduced,,,,
148742140,5289590,DK,present,introduced,,,,
148742143,2498096,DK,present,introduced,,,,
148742145,2498107,DK,present,introduced,,,,
148742146,9761484,DK,present,introduced,,,,
148742148,2498154,DK,present,introduced,,,,
148742149,2498139,DK,present,introduced,,,,
148742150,2498252,DK,present,introduced,invasive,,,
148742151,2498388,DK,present,introduced,,,,
148742152,2498387,DK,present,introduced,,,,
148742160,5230861,DK,present,introduced,,,,
148742166,2491872,DK,present,introduced,,,,
148742167,2491475,DK,present,introduced,,,,
148742181,5203111,DK,present,introduced,,,,
148742183,2705185,DK,present,introduced,,,,
148742184,2705181,DK,present,introduced,,,,
148742185,2705666,DK,present,introduced,,,,
148742188,4142480,DK,present,introduced,,,,
148742189,4284021,DK,present,introduced,,,,
148742190,2351271,DK,present,introduced,,,,
148742191,2351327,DK,present,introduced,,,,
148742192,2704371,DK,present,introduced,,,,
148742193,5204019,DK,present,introduced,,,,
148742194,7795888,DK,present,introduced,,,,
148742195,5204037,DK,present,introduced,,,,
148742197,5711980,DK,present,introduced,,,,
148742198,7883427,DK,present,introduced,,,,
148742199,5204024,DK,present,introduced,,,,
148742200,2706406,DK,present,introduced,,,,
148742202,5289906,DK,present,introduced,,,,
148742203,5204039,DK,present,introduced,,,,
148742204,5289686,DK,present,introduced,,,,
148742206,5289684,DK,present,introduced,,,,
148742208,5289666,DK,present,introduced,,,,
148742209,2379089,DK,present,introduced,invasive,,,
148742210,5289698,DK,present,introduced,,,,
148742212,5289679,DK,present,introduced,,,,
148742213,2394486,DK,present,introduced,invasive,,,
148742214,2394563,DK,present,introduced,invasive,,,
148742215,2705967,DK,present,introduced,,,,
148742216,2705966,DK,present,introduced,,,,
148742219,2391520,DK,present,introduced,,,,
148742220,5678561,DK,present,introduced,,,,
148742223,5289752,DK,present,introduced,,,,
148742224,2360842,DK,present,introduced,,,,
148742225,5289758,DK,present,introduced,,,,
148742226,5289753,DK,present,introduced,,,,
148742227,5289744,DK,present,introduced,,,,
148742228,2362868,DK,present,introduced,invasive,,,
148742229,5289751,DK,present,introduced,,,,
148742230,2362473,DK,present,introduced,,,,
148742231,5289756,DK,present,introduced,,,,
148742232,2362486,DK,present,introduced,,,,
148742233,5289745,DK,present,introduced,,,,
148742234,4286975,DK,present,introduced,invasive,,,
148742235,2362030,DK,present,introduced,,,,
148742236,8244278,DK,present,introduced,,,,
148742237,4286942,DK,present,introduced,invasive,,,
148742240,2337607,DK,present,introduced,,,,
148742242,2706003,DK,present,introduced,,,,
148742243,2340989,DK,present,introduced,,,,
148742244,2706002,DK,present,introduced,,,,
148742245,2340977,DK,present,introduced,,,,
148742246,2704211,DK,present,introduced,,,,
148742248,5289917,DK,present,introduced,,,,
148742250,5289913,DK,present,introduced,,,,
148742251,2402168,DK,present,introduced,,,,
148742252,2705622,DK,present,introduced,,,,
148742253,2705090,DK,present,introduced,,,,
148742254,4125308,DK,present,introduced,,,,
148742255,2402129,DK,present,introduced,,,,
148742256,2705081,DK,present,introduced,,,,
148742257,5674230,DK,present,introduced,,,,
148742258,4287131,DK,present,introduced,,,,
148742259,5674213,DK,present,introduced,,,,
148742261,2705144,DK,present,introduced,,,,
148742262,2705162,DK,present,introduced,,,,
148742264,2706218,DK,present,introduced,,,,
148742265,2706236,DK,present,introduced,,,,
148742267,4129708,DK,present,introduced,,,,
148742271,2706242,DK,present,introduced,,,,
148742276,2706026,DK,present,introduced,,,,
148742278,2703109,DK,present,introduced,,,,
148742280,2705914,DK,present,introduced,,,,
148742281,5179027,DK,present,introduced,,,,
148742282,5290177,DK,present,introduced,,,,
148742283,5289762,DK,present,introduced,,,,
148742284,4116522,DK,present,introduced,,,,
148742287,2706067,DK,present,introduced,,,,
148742288,7324734,DK,present,introduced,,,,
148742289,2229800,DK,present,introduced,,,,
148742290,9775845,DK,present,introduced,,,,
148742291,2229915,DK,present,introduced,,,,
148742292,4114079,DK,present,introduced,,,,
148742294,4270548,DK,present,introduced,,,,
148742295,2706052,DK,present,introduced,,,,
148742296,8227419,DK,present,introduced,,,,
148742298,4123970,DK,present,introduced,,,,
148742299,2704922,DK,present,introduced,,,,
148742301,5290242,DK,present,introduced,,,,
148742302,5289764,DK,present,introduced,,,,
148742303,2705690,DK,present,introduced,,,,
148742304,4115735,DK,present,introduced,,,,
148742307,2705953,DK,present,introduced,,,,
148742308,2705955,DK,present,introduced,,,,
148742309,6431411,DK,present,introduced,,,,
148742310,2232992,DK,present,introduced,,,,
148742311,2702816,DK,present,introduced,,,,
148742312,2702822,DK,present,introduced,,,,
148742313,2702808,DK,present,introduced,,,,
148742315,5290282,DK,present,introduced,,,,
148742317,5290323,DK,present,introduced,,,,
148742318,5290318,DK,present,introduced,,,,
148742319,2234044,DK,present,introduced,,,,
148742320,2702529,DK,present,introduced,,,,
148742321,2705400,DK,present,introduced,,,,
148742323,2705449,DK,present,introduced,,,,
148742324,2705339,DK,present,introduced,,,,
148742326,2705431,DK,present,introduced,,,,
148742327,4150768,DK,present,introduced,,,,
148742329,2704661,DK,present,introduced,,,,
148742331,4139037,DK,present,introduced,,,,
148742332,2233761,DK,present,introduced,,,,
148742333,8188462,DK,present,introduced,,,,
148742334,2705325,DK,present,introduced,,,,
148742335,2704854,DK,present,introduced,,,,
148742337,6109637,DK,present,introduced,,,,
148742340,4932234,DK,present,introduced,,,,
148742341,2704394,DK,present,introduced,,,,
148742342,5289998,DK,present,introduced,,,,
148742344,5289972,DK,present,introduced,,,,
148742349,5166344,DK,present,introduced,,,,
148742350,5290003,DK,present,introduced,,,,
148742351,2706301,DK,present,introduced,,,,
148742352,4142326,DK,present,introduced,,,,
148742353,5289783,DK,present,introduced,,,,
148742354,5166339,DK,present,introduced,,,,
148742355,4138080,DK,present,introduced,,,,
148742359,2115741,DK,present,introduced,,,,
148742360,4118280,DK,present,introduced,,,,
148742361,2115717,DK,present,introduced,invasive,,,
148742362,2706444,DK,present,introduced,,,,
148742364,2705196,DK,present,introduced,,,,
148742367,5289793,DK,present,introduced,,,,
148742368,2234729,DK,present,introduced,invasive,,,
148742369,5290073,DK,present,introduced,,,,
148742371,2705972,DK,present,introduced,,,,
148742373,5290059,DK,present,introduced,,,,
148742374,2705295,DK,present,introduced,,,,
148742376,2705300,DK,present,introduced,,,,
148742377,2235237,DK,present,introduced,,,,
148742378,2705290,DK,present,introduced,,,,
148742383,2705292,DK,present,introduced,,,,
148742384,2188249,DK,present,introduced,invasive,,,
148742385,2705297,DK,present,introduced,,,,
148742387,2186348,DK,present,introduced,,,,
148742388,8429888,DK,present,introduced,,,,
148742390,2188210,DK,present,introduced,,,,
148742391,7226804,DK,present,introduced,,,,
148742393,7432992,DK,present,introduced,,,,
148742395,2130185,DK,present,introduced,,,,
148742397,2705286,DK,present,introduced,,,,
148742399,2702792,DK,present,introduced,,,,
148742400,2702793,DK,present,introduced,,,,
148742401,2705857,DK,present,introduced,,,,
148742403,5290143,DK,present,introduced,,,,
148742404,4111775,DK,present,introduced,,,,
148742405,2703721,DK,present,introduced,,,,
148742407,2703733,DK,present,introduced,,,,
148742408,2703700,DK,present,introduced,,,,
148742409,2703698,DK,present,introduced,,,,
