taxonKey,nubKey,taxonID,scientificName,acceptedKey,accepted,kingdom,taxonRank
,1589999,,"Trachyopella straminea Roháček & Marshall, 1985",,,Animalia,species
,8411684,,"Monochamus sutor (Linnaeus, 1758)",,,Animalia,species
,1047536,,"Leptinotarsa decemlineata (Say, 1824)",,,Animalia,species
,1047341,,"Callosobruchus chinensis (Linnaeus, 1758)",,,Animalia,species
,5752155,,"Bruchus pisorum Linnaeus, 1758",,,Animalia,species
,5752143,,"Bruchus rufimanus Boheman, 1833",,,Animalia,species
,1047525,,"Acanthoscelides obtectus (Say, 1831)",,,Animalia,species
,2576553,,Entoleuca mammata (Wahlenb.) J.D.Rogers & Y.M.Ju,,,Fungi,species
,3109086,,Senecio inaequidens DC.,,,Plantae,species
,2891783,,Impatiens balfourii Hook.fil.,,,Plantae,species
,3173338,,Buddleja davidii Franch.,,,Plantae,species
,1179369,,"Pentarthrum confine Broun, 1881",,,Animalia,species
,3204007,,Pseudoperonospora cubensis (Berk. & M.A.Curtis) Rostovzev,,,Chromista,species
,2284723,,"Urnatella gracilis Leidy, 1851",,,Animalia,species
,4408321,,"Craspedacusta sowerbii Lankester, 1880",,,Animalia,species
,2266009,,"Cordylophora caspia (Pallas, 1771)",,,Animalia,species
,5199161,,"Hypania invalida (Grube, 1860)",,,Animalia,species
,7258589,,Plasmopara angustiterminalis Novot.,,,Chromista,species
,3204123,,Plasmopara viticola (Berk. & M.A.Curtis) Berl. & De Toni,,,Chromista,species
,3203716,,Phytophthora infestans (Mont.) de Bary,,,Chromista,species
,3203807,,Peronospora manshurica (Naumov) Syd.,,,Chromista,species
,3203754,,Peronospora arthurii Farl.,,,Chromista,species
,2307856,,"Caspiobdella fadejewi (Epshtein, 1961)",,,Animalia,species
,3203882,,Basidiophora entospora Roze & Cornu,,,Chromista,species
,2308574,,"Branchiura sowerbyi Beddard, 1892",,,Animalia,species
,3202936,,Aphanomyces astaci Schikora,,,Chromista,species
,2307447,,"Barbronia weberi (Blanchard, 1897)",,,Animalia,species
,2505826,,"Fascioloides magna (Bassa, 1875)",,,Animalia,species
,5265718,,Synchytrium endobioticum (Schilb.) Percival,,,Fungi,species
,2612582,,Phaeocryptopus gaeumannii (T.Rohde) Petr.,,,Fungi,species
,4344674,,"Dendrocoelum romanodanubiale (Codreanu, 1949)",,,Animalia,species
,2613011,,Kabatina thujae R.Schneid. & Arx,,,Fungi,species
,5286308,,Lunularia cruciata (L.) Dumort. ex Lindb.,,,Plantae,species
,2678405,,Pterogonium gracile (Hedw.) Sm.,,,Plantae,species
,8756603,,"Gyrodactylus gasterostei Gläser, 1974",,,Animalia,species
,4343706,,"Pseudodactylogyrus anguillae (Yin & Sproston, 1948) Gusev, 1965",,,Animalia,species
,2677047,,Orthodontium lineare Schwägr.,,,Plantae,species
,4343705,,"Pseudodactylogyrus bini (Kikuchi, 1929)",,,Animalia,species
,4412376,,"Dactylogyrus yinwenyingae Gusev, 1962",,,Animalia,species
