taxonID,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
https://www.gbif.org/species/5666,BE,present,introduced,na,na,2011/2019,"https://www.gbif.org/species/180661135: Gekkota (Cuvier, 1817) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c"
https://www.gbif.org/species/5666,BE,present,introduced,casual,containerbulk|pet,2011/2019,"https://www.gbif.org/species/180661135: Gekkota (Cuvier, 1817) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c"
https://www.gbif.org/species/1001263,NO,present,introduced,,transport - stowaway: other means of transport,,
https://www.gbif.org/species/1001263,NO,present,introduced,,transport - contaminant: other means of contamination,,
https://www.gbif.org/species/1001461,DE,present,introduced,,,2019,
https://www.gbif.org/species/1002027,PL,present,introduced,,,,
https://www.gbif.org/species/1002404,DE,present,introduced,,,2019,
https://www.gbif.org/species/1002572,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,,
https://www.gbif.org/species/1002572,NO,present,introduced,,transport - stowaway: other means of transport,,
https://www.gbif.org/species/1002572,NO,present,introduced,,transport - stowaway: ship/boat ballast water,,
https://www.gbif.org/species/1002621,BE,present,introduced,na,na,1974/1974,"https://www.gbif.org/species/157131084: Keratella tropica (Apstein, 1907) in Costello, M. J.; Ahyong, S.; Bieler, R.; Boudouresque, C.; Desiderato, A.; Downey, R.; Galil, B. S.; Gollasch, S.; Hutchings, P.; Kamburska, L.; Katsanevakis, S.; Kupriyanova, E.; Lejeusne, C.; Ma, K. C. K.; Marchini, A.; Occhipinti, A.; Pagad, S.; Pino, L.; Poore, G. C. B.; Rewicz, T.; Rius, M.; Robinson, T. B.; Sobczyk, R.; Stępień, A.; Turon, X.; Valls Domedel, G.; Verleye, T.; Vieira, L. M.; Willan, R. C.; Zhan, A. (2025). World Register of Introduced Marine Species (WRiMS). Accessed at https://www.marinespecies.org/introduced on 2025-12-01. doi:10.14284/347"
