taxonID,taxonKey,scientificName,action,acceptedKey,accepted
90467,160880251,"Varroa jacobsoni Oudemans, 1904",merged_with_accepted,201311611,"Varroa destructor Anderson & Trueman, 2000"
90414,160880264,"Tegenaria atrica C.L.Koch, 1843",merged_with_accepted,201311604,"Eratigena atrica (C.L.Koch, 1843)"
90415,160880268,Tegenaria gigantea,merged_with_accepted,201311603,"Eratigena duellica (Simon, 1875)"
90427,160880269,Thesium arvense HorvÃ¡tovszky,merged_with_accepted,201312052,Thesium ramosum Hayne
90123,160880272,Oecobius annulipes,scientificName_replaced_by_backbone_name,,
90345,160880293,Sedum spurium Bieb.,merged_with_accepted,201311866,Phedimus spurius (M.Bieb.) 't Hart
90346,160880297,Sedum telephium ssp. fabaria,merged_with_accepted,201311874,Hylotelephium telephium (L.) H.Ohba
90342,160880300,Sedum kamtschaticum Fisch. & Mey.,merged_with_accepted,201311868,Phedimus kamtschaticus (Fisch. & C.A.Mey.) 't Hart
90344,160880304,Sedum rupestre All. ex Reut.,merged_with_accepted,201311875,Sedum anglicum Huds.
90183,160880308,Phedimus hybridus (L.) 't Hart,merged_with_accepted,201311871,Sedum hybridus
90182,160880312,Phedimus aizoon (L.) 't Hart,merged_with_accepted,201311863,Sedum aizoon
90341,160880314,Sedum hybridum,not_matched_with_backbone,,
90135,160880322,"Orchestia cavimana Heller, 1865",merged_with_accepted,201311461,"Cryptorchestia cavimana (Heller, 1865)"
90151,160880334,Oxalis stricta L.,merged_with_accepted,160880332,Oxalis corniculata L.
90490,160880345,Viola tricolor subsp. subalpina Gaudin,merged_with_accepted,201311803,Viola tricolor L.
90222,160880353,Populus berolinensis C.Koch,not_matched_with_backbone,,
90121,160880354,Nopoiulus venustus,merged_with_accepted,201311622,"Nopoiulus kochii (Gervais, 1847)"
89660,160880356,"Blaniulus guttulatus (Bosc, 1792)",scientificName_replaced_by_backbone_name,,
90230,160880357,Populus trichocarpa Torr. & Gray ex Hooker,merged_with_accepted,160880355,Populus balsamifera L.
90224,160880358,Populus canescens Sm.,scientificName_replaced_by_backbone_name,,
90223,160880360,Populus canadensis Moench,scientificName_replaced_by_backbone_name,,
89665,160880361,Brachyiulus littoralis,not_matched_with_backbone,,
90225,160880368,Populus deltoides,scientificName_replaced_by_backbone_name,,
89642,160880369,Balanus improvisus,scientificName_replaced_by_backbone_name,,
90426,160880390,"Thermobia domestica (Packard, 1873)",scientificName_replaced_by_backbone_name,,
90015,160880392,"Lepisma saccharina Linnaeus, 1758",scientificName_replaced_by_backbone_name,,
89891,160880400,Euonymus nanus M.Bieb.,merged_with_accepted,201311674,Euonymus nana
90030,160880401,Liposcelis divinatorius,scientificName_replaced_by_backbone_name,,
89890,160880404,Euonymus macropterus Rupr.,merged_with_accepted,201311677,Euonymus macroptera
89892,160880409,Euonymus planipes (Koehne) Koehne,merged_with_accepted,201311680,Euonymus sachalinensis Maxim.
89807,160880410,"Ctenocephalides felis (Bouche, 1835)",scientificName_replaced_by_backbone_name,,
89889,160880411,Euonymus latifolius Mill.,scientificName_replaced_by_backbone_name,,
90211,160880432,"Plodia interpunctella (Hubner, 1813)",scientificName_replaced_by_backbone_name,,
89872,160880438,"Ephestia elutella (Hubner, 1796)",scientificName_replaced_by_backbone_name,,
89962,160880442,"Hofmannophila pseudospretella (Stainton, 1849)",scientificName_replaced_by_backbone_name,,
89870,160880444,"Endrosis sarcitrella (Linnaeus, 1758)",scientificName_replaced_by_backbone_name,,
89703,160880447,"Cameraria ohridella Deschka & Dimic, 1986",scientificName_replaced_by_backbone_name,,
89847,160880450,Dipsacus fullonum L.,merged_with_accepted,201311828,Dipsacus sativus (L.) Honckeny
90401,160880452,Symphoricarpos albus (L.) C.Koch,not_matched_with_backbone,,
90244,160880462,Prenolepis longicornis,merged_with_accepted,201311583,"Paratrechina longicornis (Latreille, 1802)"
90092,160880464,"Monomorium pharaonis (Linnaeus, 1758)",merged_with_accepted,201311582,Monomoria pharaonis
90039,160880466,Lonicera involucrata Banks ex Spreng.,scientificName_replaced_by_backbone_name,,
90125,160880479,Oenothera depressa Greene,merged_with_accepted,201311808,Oenothera villosa Thunb.
90112,160880482,Nematus laricis,merged_with_accepted,201311586,"Pristiphora laricis (Hartig, 1837)"
90126,160880483,Oenothera rubricaulis,scientificName_replaced_by_backbone_name,,
90248,160880484,Pristiphora erichsonii (Hartig),scientificName_replaced_by_backbone_name,,
89876,160880487,Epilobium glandulosum Lehm.,merged_with_accepted,160880485,Epilobium ciliatum Raf.
89874,160880489,Epilobium adenocaulon Hausskn.,merged_with_accepted,160880485,Epilobium ciliatum Raf.
90246,160880497,Primula vulgaris,merged_with_accepted,201311721,Primula acaulis (L.) L.
90454,160880498,Trioza alacris Flor,merged_with_accepted,201311495,"Lauritrioza alacris (Flor, 1861)"
89878,160880513,Erica herbacea L.,merged_with_accepted,201311718,Erica carnea L.
89768,160880517,Collomia linearis (Cav.) Nutt.,scientificName_replaced_by_backbone_name,,
90089,160880520,"Mindarus abietinus Koch & C.L., 1857",scientificName_replaced_by_backbone_name,,
90170,160880528,Pemphigus spyrothecae,scientificName_replaced_by_backbone_name,,
90052,160880530,"Macrosiphum euphorbiae (C.Thomas, 1878)",scientificName_replaced_by_backbone_name,,
89783,160880531,Cornus alba L.,merged_with_accepted,201311819,Swida alba
89854,160880535,"Drepanosiphum aceris Koch & C.L., 1855",scientificName_replaced_by_backbone_name,,
89785,160880536,Cornus sericea subsp. sericea,merged_with_accepted,201311817,Swida stolonifera
89848,160880537,"Diuraphis noxia (Kurdjumov, 1913)",scientificName_replaced_by_backbone_name,,
89760,160880541,"Cinara laricis (Hartig, 1839)",scientificName_replaced_by_backbone_name,,
89858,160880544,Echinocystis lobata Torr. & A.Gray,scientificName_replaced_by_backbone_name,,
89664,160880545,"Brachycaudus cardui (Linnaeus, 1758)",scientificName_replaced_by_backbone_name,,
89586,160880549,"Aphis umbrella (BÃ¶rner, 1950)",scientificName_replaced_by_backbone_name,,
89582,160880551,"Anuraphis farfarae (Koch & C.L., 1854)",scientificName_replaced_by_backbone_name,,
89583,160880552,"Anuraphis subterranea (F.Walker, 1852)",scientificName_replaced_by_backbone_name,,
89761,160880553,Citrullus lanatus (Thunb.) Matsumura & Nakai,scientificName_replaced_by_backbone_name,,
89525,160880558,"Acyrthosiphon caraganae subsp. caraganae (Cholodkovsky, 1908)",not_matched_with_backbone,,
90316,160880565,"Sacchiphantes viridis (Ratzeburg, 1843)",merged_with_accepted,201311500,"Adelges viridis (Ratzeburg, 1843)"
90264,160880568,Pterocarya fraxinifolia (Poir.) K.Koch,merged_with_accepted,201311897,Pterocarya pterocarpa (Michx.) Kunth ex Iljinsk.
89587,160880569,"Aphrastasia pectinatae (Cholodkovsky, 1888)",merged_with_accepted,201311502,"Adelges pectinatae (Cholodkovsky, 1888)"
89987,160880570,Juglans ailanthifolia CarriÃ¨re,scientificName_replaced_by_backbone_name,,
89753,160880573,"Cholodkovskya viridana (Cholodkovsky, 1896)",merged_with_accepted,201311505,"Adelges viridanus (Cholodkovsky, 1896)"
89855,160880581,Dreyfusia nordmannianae,merged_with_accepted,160880579,"Adelges nordmannianae (Eckstein, 1890)"
89655,160880591,Betula alleghaniensis Britton,merged_with_accepted,201311904,Betula lutea
90446,160880606,"Trichodes apiarius (Linnaeus, 1758)",merged_with_accepted,201311537,"Attelabus apiarius Linnaeus, 1758"
90419,160880609,Tenebroides mauritanicus (Linnaeus),scientificName_replaced_by_backbone_name,,
90368,160880611,"Sitophilus oryzae Schoenherr, 1838",not_matched_with_backbone,,
90369,160880613,"Sitophilus zeamais Motschulsky, 1855",scientificName_replaced_by_backbone_name,,
90110,160880616,"Necrobia rufipes (De Geer, 1775)",scientificName_replaced_by_backbone_name,,
90000,160880621,"Lasioderma serricorne (Fabricius, 1792)",scientificName_replaced_by_backbone_name,,
89862,160880629,"Edaphus beszedesi Reitter, 1914",merged_with_accepted,201311543,"Edaphus lederi Eppelsheim, 1878"
89814,160880634,Cuscuta campestris Yunck.,merged_with_accepted,201311921,Cuscuta pentagona Engelm.
89816,160880638,"Cuscuta epithymum subsp. trifolii Simonk., 1887",merged_with_accepted,201311924,Cuscuta epithymum (L.) L.
89871,160880643,"Epauloecus unicolor (Piller & Mitterpacher, 1783)",merged_with_accepted,201311525,"Tipnus unicolor (Piller & Mitterpacher, 1783)"
90119,160880649,"Niptus hololeucus (Falderman, 1836)",scientificName_replaced_by_backbone_name,,
90191,160880652,Physalis alkekengi L.,merged_with_accepted,201311931,Alkekengi officinarum Moench
90192,160880656,Physalis ixocarpa Brot. ex Hornem.,merged_with_accepted,201311938,Physalis philadelphica Lam.
90178,160880660,Petunia hybrida (Hook.fil.) Vilmorin,merged_with_accepted,201311935,Petunia atkinsiana D.Don ex Loud
89830,160880666,"Dermestes ater De Geer, 1774",scientificName_replaced_by_backbone_name,,
89831,160880670,"Dermestes frischi Kugelann, 1792",scientificName_replaced_by_backbone_name,,
90051,160880673,Lycopersicon esculentum (L.) Karst. ex Farw.,not_matched_with_backbone,,
90453,160880685,Trigonella monspeliaca,merged_with_accepted,201312034,Medicago monspeliaca Trautv.
89635,160880688,"Attagenus unicolor (Brahm, 1791)",scientificName_replaced_by_backbone_name,,
89786,160880689,Coronilla varia,merged_with_accepted,201312015,Securigera varia (L.) Lassen
89823,160880693,Cytisus glaber,not_matched_with_backbone,201312030,Cytisus elongatus
89594,160880696,"Aridius nodifer (Westwood, 1839)",merged_with_accepted,201311516,"Lathridius nodifer Westwood, 1839"
90001,160880705,"Latheticus oryzae Waterhouse, 1880",scientificName_replaced_by_backbone_name,,
